date,name,price,quantity,totalPrice,tradeType,tradeStrategy,market,account
2020-01-17,삼성화재,228500,2,457000,매수,20일밑꼬리,코스피,""
2020-01-17,한국전자금융,7940,70,555800,매수,장기투자,코스닥,""
2020-01-21,아모레G,87000,10,870000,매수,예쁜차트,코스피,""
2020-01-21,웅진코웨이,88100,10,881000,매수,예쁜차트,코스피,""
2020-01-21,태광,10800,70,756000,매수,240돌파,코스닥,""
2020-01-21,NHN한국사이버결제,22400,35,784000,매수,예쁜차트,코스닥,""
2020-01-21,기아차,41400,20,828000,매수,20일밑꼬리,코스피,나무
2020-01-21,SK바이오랜드,23300,30,699000,매수,장대양봉,코스닥,미래
2020-01-22,NHN한국사이버결제,23200,35,812000,매도,예쁜차트,코스닥,미래
2020-01-22,삼성전자,60700,10,607000,매수,장기투자,코스피,삼성
